origin_ID,destination_ID,distance,travel_time,route,fare
0,1,459,2,"[0, 1]",2.3
0,2,918,4,"[0, 1, 2]",4.59
0,3,459,2,"[0, 3]",2.3
0,4,918,4,"[0, 3, 4]",4.59
0,5,918,4,"[0, 3, 5]",4.59
0,6,918,4,"[0, 3, 6]",4.59
0,7,1377,6,"[0, 3, 6, 7]",6.88
0,8,1377,6,"[0, 3, 6, 8]",6.88
0,9,1377,6,"[0, 3, 6, 9]",6.88
0,10,1836,8,"[0, 3, 6, 9, 10]",9.18
1,0,459,2,"[1, 0]",2.3
1,2,459,2,"[1, 2]",2.3
1,3,459,2,"[1, 3]",2.3
1,4,459,2,"[1, 4]",2.3
1,5,918,4,"[1, 3, 5]",4.59
1,6,918,4,"[1, 4, 6]",4.59
1,7,918,4,"[1, 4, 7]",4.59
1,8,1377,6,"[1, 4, 6, 8]",6.88
1,9,1377,6,"[1, 4, 7, 9]",6.88
1,10,1377,6,"[1, 4, 7, 10]",6.88
2,0,918,4,"[2, 1, 0]",4.59
2,1,459,2,"[2, 1]",2.3
2,3,918,4,"[2, 1, 3]",4.59
2,4,459,2,"[2, 4]",2.3
2,5,1377,6,"[2, 1, 3, 5]",6.88
2,6,918,4,"[2, 4, 6]",4.59
2,7,918,4,"[2, 4, 7]",4.59
2,8,1377,6,"[2, 4, 6, 8]",6.88
2,9,1377,6,"[2, 4, 7, 9]",6.88
2,10,1377,6,"[2, 4, 7, 10]",6.88
3,0,459,2,"[3, 0]",2.3
3,1,459,2,"[3, 1]",2.3
3,2,918,4,"[3, 4, 2]",4.59
3,4,459,2,"[3, 4]",2.3
3,5,459,2,"[3, 5]",2.3
3,6,459,2,"[3, 6]",2.3
3,7,918,4,"[3, 6, 7]",4.59
3,8,918,4,"[3, 6, 8]",4.59
3,9,918,4,"[3, 6, 9]",4.59
3,10,1377,6,"[3, 6, 9, 10]",6.88
4,0,918,4,"[4, 1, 0]",4.59
4,1,459,2,"[4, 1]",2.3
4,2,459,2,"[4, 2]",2.3
4,3,459,2,"[4, 3]",2.3
4,5,918,4,"[4, 3, 5]",4.59
4,6,459,2,"[4, 6]",2.3
4,7,459,2,"[4, 7]",2.3
4,8,918,4,"[4, 6, 8]",4.59
4,9,918,4,"[4, 7, 9]",4.59
4,10,918,4,"[4, 7, 10]",4.59
5,0,918,4,"[5, 3, 0]",4.59
5,1,918,4,"[5, 3, 1]",4.59
5,2,1377,6,"[5, 6, 4, 2]",6.88
5,3,459,2,"[5, 3]",2.3
5,4,918,4,"[5, 6, 4]",4.59
5,6,459,2,"[5, 6]",2.3
5,7,918,4,"[5, 6, 7]",4.59
5,8,459,2,"[5, 8]",2.3
5,9,918,4,"[5, 8, 9]",4.59
5,10,1377,6,"[5, 8, 9, 10]",6.88
6,0,918,4,"[6, 3, 0]",4.59
6,1,918,4,"[6, 4, 1]",4.59
6,2,918,4,"[6, 4, 2]",4.59
6,3,459,2,"[6, 3]",2.3
6,4,459,2,"[6, 4]",2.3
6,5,459,2,"[6, 5]",2.3
6,7,459,2,"[6, 7]",2.3
6,8,459,2,"[6, 8]",2.3
6,9,459,2,"[6, 9]",2.3
6,10,918,4,"[6, 9, 10]",4.59
7,0,1377,6,"[7, 4, 1, 0]",6.88
7,1,918,4,"[7, 4, 1]",4.59
7,2,918,4,"[7, 4, 2]",4.59
7,3,918,4,"[7, 4, 3]",4.59
7,4,459,2,"[7, 4]",2.3
7,5,918,4,"[7, 6, 5]",4.59
7,6,459,2,"[7, 6]",2.3
7,8,918,4,"[7, 6, 8]",4.59
7,9,459,2,"[7, 9]",2.3
7,10,459,2,"[7, 10]",2.3
8,0,1377,6,"[8, 6, 3, 0]",6.88
8,1,1377,6,"[8, 6, 4, 1]",6.88
8,2,1377,6,"[8, 6, 4, 2]",6.88
8,3,918,4,"[8, 6, 3]",4.59
8,4,918,4,"[8, 6, 4]",4.59
8,5,459,2,"[8, 5]",2.3
8,6,459,2,"[8, 6]",2.3
8,7,918,4,"[8, 9, 7]",4.59
8,9,459,2,"[8, 9]",2.3
8,10,918,4,"[8, 9, 10]",4.59
9,0,1377,6,"[9, 6, 3, 0]",6.88
9,1,1377,6,"[9, 7, 4, 1]",6.88
9,2,1377,6,"[9, 7, 4, 2]",6.88
9,3,918,4,"[9, 6, 3]",4.59
9,4,918,4,"[9, 7, 4]",4.59
9,5,918,4,"[9, 6, 5]",4.59
9,6,459,2,"[9, 6]",2.3
9,7,459,2,"[9, 7]",2.3
9,8,459,2,"[9, 8]",2.3
9,10,459,2,"[9, 10]",2.3
10,0,1836,8,"[10, 7, 4, 1, 0]",9.18
10,1,1377,6,"[10, 7, 4, 1]",6.88
10,2,1377,6,"[10, 7, 4, 2]",6.88
10,3,1377,6,"[10, 7, 4, 3]",6.88
10,4,918,4,"[10, 7, 4]",4.59
10,5,1377,6,"[10, 7, 6, 5]",6.88
10,6,918,4,"[10, 7, 6]",4.59
10,7,459,2,"[10, 7]",2.3
10,8,918,4,"[10, 9, 8]",4.59
10,9,459,2,"[10, 9]",2.3
