,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
7256477,6,0,4,918,0,0,3,1
7256536,19,7,0,1377,4,2,0,0
7256564,24,7,9,459,4,2,3,3
7256600,32,6,8,459,2,2,1,3
7256675,45,6,9,459,2,2,3,3
7256702,52,7,5,918,4,2,0,2
7256717,55,4,0,918,3,1,0,0
7256868,81,7,4,459,4,2,3,1
7256957,98,7,1,918,4,2,2,0
7257028,109,7,2,918,4,2,4,0
7257178,136,0,4,918,0,0,3,1
7257194,139,10,4,918,5,3,3,1
7257326,160,5,0,918,0,2,0,0
7257513,193,7,1,918,4,2,2,0
7257515,194,4,3,459,3,1,1,1
7257656,217,9,7,459,3,3,4,2
7257659,218,4,0,918,3,1,0,0
7257676,221,3,10,1377,1,1,5,3
7257718,228,1,5,918,2,0,0,2
7257721,229,9,2,1377,3,3,4,0
7257811,245,5,9,918,0,2,3,3
7257867,254,10,7,459,5,3,4,2
7257875,255,7,0,1377,4,2,0,0
7257900,260,10,4,918,5,3,3,1
7258038,285,10,8,918,5,3,1,3
7258137,304,3,7,918,1,1,4,2
7258230,319,4,5,918,3,1,0,2
7258331,336,8,9,459,1,3,3,3
7258387,346,0,10,1836,0,0,5,3
7258424,352,4,5,918,3,1,0,2
7258469,357,1,4,459,2,0,3,1
7258496,364,10,4,918,5,3,3,1
7258513,367,9,2,1377,3,3,4,0
7258644,390,7,8,918,4,2,1,3
7258668,394,4,9,918,3,1,3,3
7258705,401,0,7,1377,0,0,4,2
7258824,427,3,9,918,1,1,3,3
7258835,428,9,3,918,3,3,1,1
7258892,435,10,4,918,5,3,3,1
7259064,461,2,5,1377,4,0,0,2
7259236,495,8,4,918,1,3,3,1
7259258,499,7,4,459,4,2,3,1
7259350,517,9,1,1377,3,3,2,0
7259582,556,9,10,459,3,3,5,3
7259628,567,7,8,918,4,2,1,3
7259641,569,10,4,918,5,3,3,1
7259780,592,4,5,918,3,1,0,2
7259850,606,10,1,1377,5,3,2,0
7259875,611,4,7,459,3,1,4,2
7259897,615,0,10,1836,0,0,5,3
7259945,624,9,4,918,3,3,3,1
7259950,624,3,6,459,1,1,2,2
7260003,633,8,4,918,1,3,3,1
7260019,636,6,8,459,2,2,1,3
7260119,652,2,7,918,4,0,4,2
7260216,667,7,8,918,4,2,1,3
7260297,680,7,5,918,4,2,0,2
7260317,683,7,2,918,4,2,4,0
7260359,692,8,5,459,1,3,0,2
7260411,703,9,6,459,3,3,2,2
7260420,705,4,10,918,3,1,5,3
7260539,725,8,7,918,1,3,4,2
7260568,731,0,10,1836,0,0,5,3
7260672,749,9,3,918,3,3,1,1
7260764,767,0,9,1377,0,0,3,3
7260790,772,10,5,1377,5,3,0,2
7260797,773,10,0,1836,5,3,0,0
7260804,775,1,4,459,2,0,3,1
7260890,787,4,9,918,3,1,3,3
7261082,821,0,6,918,0,0,2,2
7261125,827,5,2,1377,0,2,4,0
7261153,832,9,10,459,3,3,5,3
7261213,845,6,7,459,2,2,4,2
7261246,852,6,7,459,2,2,4,2
7261453,888,3,9,918,1,1,3,3
7261612,918,10,7,459,5,3,4,2
7261732,939,9,7,459,3,3,4,2
7261785,949,8,7,918,1,3,4,2
7261852,962,5,4,918,0,2,3,1
7261865,965,8,10,918,1,3,5,3
7261902,971,5,7,918,0,2,4,2
7261970,982,3,7,918,1,1,4,2
7261998,986,9,4,918,3,3,3,1
7262155,1013,2,10,1377,4,0,5,3
7262218,1021,8,4,918,1,3,3,1
7262362,1046,10,2,1377,5,3,4,0
