origin_ID,destination_ID,distance,travel_time,route,fare
0,1,917,5,"[0, 1]",4.58
0,2,1834,10,"[0, 1, 2]",9.17
0,3,917,5,"[0, 3]",4.58
0,4,1834,10,"[0, 3, 4]",9.17
0,5,2751,15,"[0, 3, 4, 5]",13.76
0,6,1834,10,"[0, 3, 6]",9.17
0,7,1834,10,"[0, 3, 7]",9.17
0,8,2751,15,"[0, 3, 7, 8]",13.76
0,9,3668,20,"[0, 3, 7, 8, 9]",18.34
0,10,2751,15,"[0, 3, 7, 10]",13.76
0,11,2751,15,"[0, 3, 7, 11]",13.76
0,12,3668,20,"[0, 3, 7, 11, 12]",18.34
0,13,3668,20,"[0, 3, 7, 10, 13]",18.34
0,14,3668,20,"[0, 3, 7, 11, 14]",18.34
0,15,3668,20,"[0, 3, 7, 11, 15]",18.34
0,16,4585,25,"[0, 3, 7, 11, 15, 16]",22.92
0,17,5502,30,"[0, 3, 7, 11, 15, 16, 17]",27.51
0,18,4585,25,"[0, 3, 7, 11, 14, 18]",22.92
0,19,4585,25,"[0, 3, 7, 11, 15, 19]",22.92
0,20,4585,25,"[0, 3, 7, 11, 15, 20]",22.92
0,21,5502,30,"[0, 3, 7, 11, 15, 20, 21]",27.51
0,22,6419,35,"[0, 3, 7, 11, 15, 20, 21, 22]",32.1
0,23,5502,30,"[0, 3, 7, 11, 15, 20, 23]",27.51
0,24,5502,30,"[0, 3, 7, 11, 15, 20, 24]",27.51
0,25,6419,35,"[0, 3, 7, 11, 15, 20, 24, 25]",32.1
0,26,7336,40,"[0, 3, 7, 11, 15, 20, 24, 25, 26]",36.68
0,27,6419,35,"[0, 3, 7, 11, 15, 20, 24, 27]",32.1
0,28,6419,35,"[0, 3, 7, 11, 15, 20, 24, 28]",32.1
0,29,7336,40,"[0, 3, 7, 11, 15, 20, 24, 28, 29]",36.68
0,30,8253,45,"[0, 3, 7, 11, 15, 20, 24, 28, 29, 30]",41.26
0,31,7336,40,"[0, 3, 7, 11, 15, 20, 24, 28, 31]",36.68
0,32,7336,40,"[0, 3, 7, 11, 15, 20, 24, 28, 32]",36.68
0,33,8253,45,"[0, 3, 7, 11, 15, 20, 24, 28, 32, 33]",41.26
0,34,9170,50,"[0, 3, 7, 11, 15, 20, 24, 28, 32, 33, 34]",45.85
0,35,8253,45,"[0, 3, 7, 11, 15, 20, 24, 28, 32, 35]",41.26
0,36,8253,45,"[0, 3, 7, 11, 15, 20, 24, 28, 32, 36]",41.26
0,37,9170,50,"[0, 3, 7, 11, 15, 20, 24, 28, 32, 36, 37]",45.85
1,0,917,5,"[1, 0]",4.58
1,2,917,5,"[1, 2]",4.58
1,3,917,5,"[1, 3]",4.58
1,4,917,5,"[1, 4]",4.58
1,5,1834,10,"[1, 4, 5]",9.17
1,6,1834,10,"[1, 3, 6]",9.17
1,7,1834,10,"[1, 4, 7]",9.17
1,8,1834,10,"[1, 4, 8]",9.17
1,9,2751,15,"[1, 4, 8, 9]",13.76
1,10,2751,15,"[1, 4, 7, 10]",13.76
1,11,2751,15,"[1, 4, 8, 11]",13.76
1,12,2751,15,"[1, 4, 8, 12]",13.76
1,13,3668,20,"[1, 4, 7, 10, 13]",18.34
1,14,3668,20,"[1, 4, 8, 11, 14]",18.34
1,15,3668,20,"[1, 4, 8, 12, 15]",18.34
1,16,3668,20,"[1, 4, 8, 12, 16]",18.34
1,17,4585,25,"[1, 4, 8, 12, 16, 17]",22.92
1,18,4585,25,"[1, 4, 8, 11, 14, 18]",22.92
1,19,4585,25,"[1, 4, 8, 12, 15, 19]",22.92
1,20,4585,25,"[1, 4, 8, 12, 16, 20]",22.92
1,21,4585,25,"[1, 4, 8, 12, 16, 21]",22.92
1,22,5502,30,"[1, 4, 8, 12, 16, 21, 22]",27.51
1,23,5502,30,"[1, 4, 8, 12, 16, 20, 23]",27.51
1,24,5502,30,"[1, 4, 8, 12, 16, 21, 24]",27.51
1,25,5502,30,"[1, 4, 8, 12, 16, 21, 25]",27.51
1,26,6419,35,"[1, 4, 8, 12, 16, 21, 25, 26]",32.1
1,27,6419,35,"[1, 4, 8, 12, 16, 21, 24, 27]",32.1
1,28,6419,35,"[1, 4, 8, 12, 16, 21, 25, 28]",32.1
1,29,6419,35,"[1, 4, 8, 12, 16, 21, 25, 29]",32.1
1,30,7336,40,"[1, 4, 8, 12, 16, 21, 25, 29, 30]",36.68
1,31,7336,40,"[1, 4, 8, 12, 16, 21, 25, 28, 31]",36.68
1,32,7336,40,"[1, 4, 8, 12, 16, 21, 25, 29, 32]",36.68
1,33,7336,40,"[1, 4, 8, 12, 16, 21, 25, 29, 33]",36.68
1,34,8253,45,"[1, 4, 8, 12, 16, 21, 25, 29, 33, 34]",41.26
1,35,8253,45,"[1, 4, 8, 12, 16, 21, 25, 29, 32, 35]",41.26
1,36,8253,45,"[1, 4, 8, 12, 16, 21, 25, 29, 33, 36]",41.26
1,37,8253,45,"[1, 4, 8, 12, 16, 21, 25, 29, 33, 37]",41.26
2,0,1834,10,"[2, 1, 0]",9.17
