,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
31912232,4,0,23,5502,0,0,4,6
31912253,8,15,20,917,4,4,5,5
31912281,13,20,15,917,5,5,4,4
31912302,17,12,16,917,5,3,6,4
31912327,22,26,16,2751,10,6,6,4
31912347,27,15,13,1834,4,4,0,4
31912367,32,3,5,1834,1,1,5,1
31912389,38,10,14,917,1,3,2,4
31912409,42,12,25,2751,5,3,8,6
31912430,48,16,20,917,6,4,5,5
31912454,52,27,23,917,5,7,4,6
31912480,58,25,22,917,8,6,9,5
31912501,61,29,32,917,9,7,8,8
31912526,65,23,18,1834,4,6,1,5
31912549,69,22,15,2751,9,5,4,4
31912574,74,8,11,917,4,2,3,3
31912596,78,36,35,917,9,9,7,9
31912618,85,12,20,1834,5,3,5,5
31912640,91,10,4,1834,1,3,3,1
31912662,95,6,15,2751,0,2,4,4
31912685,100,30,21,2751,11,7,7,5
31912706,103,11,15,917,3,3,4,4
31912727,109,16,21,917,6,4,7,5
31912749,113,5,11,1834,5,1,3,3
31912771,118,26,17,1834,10,6,8,4
31912792,122,4,15,2751,3,1,4,4
31912814,126,11,12,917,3,3,5,3
31912835,130,29,22,1834,9,7,9,5
31912859,135,25,21,917,8,6,7,5
31912883,140,11,4,1834,3,3,3,1
31912904,144,19,18,917,3,5,1,5
31912927,149,16,21,917,6,4,7,5
31912949,151,29,21,1834,9,7,7,5
31912970,156,12,16,917,5,3,6,4
31912992,162,5,11,1834,5,1,3,3
31913013,165,23,21,1834,4,6,7,5
31913034,169,12,21,1834,5,3,7,5
31913055,172,30,20,3668,11,7,5,5
31913077,177,34,0,9170,12,8,0,0
31913099,183,12,15,917,5,3,4,4
31913122,187,25,23,1834,8,6,4,6
31913145,191,7,9,1834,2,2,6,2
31913166,196,16,20,917,6,4,5,5
31913188,201,31,20,2751,6,8,5,5
31913211,205,32,20,2751,8,8,5,5
31913235,209,25,12,2751,8,6,5,3
31913256,215,4,0,1834,3,1,0,0
31913277,221,11,4,1834,3,3,3,1
31913297,224,20,16,917,5,5,6,4
31913318,228,29,20,2751,9,7,5,5
31913340,232,14,10,917,2,4,1,3
31913361,237,17,22,917,8,4,9,5
31913381,241,14,21,2751,2,4,7,5
31913403,245,10,11,917,1,3,3,3
31913423,250,19,16,1834,3,5,6,4
31913450,257,14,10,917,2,4,1,3
31913472,259,7,9,1834,2,2,6,2
31913494,264,10,5,2751,1,3,5,1
31913517,268,0,16,4585,0,0,6,4
31913538,272,19,22,2751,3,5,9,5
31913564,277,4,0,1834,3,1,0,0
31913586,281,16,11,1834,6,4,3,3
31913607,287,12,0,3668,5,3,0,0
31913630,292,21,29,1834,7,5,9,7
31913651,296,15,20,917,4,4,5,5
31913671,300,16,20,917,6,4,5,5
31913693,303,12,16,917,5,3,6,4
31913713,307,23,16,1834,4,6,6,4
31913735,311,35,20,3668,7,9,5,5
31913757,316,14,10,917,2,4,1,3
31913777,319,26,16,2751,10,6,6,4
31913798,323,17,21,917,8,4,7,5
31913819,327,0,11,2751,0,0,3,3
31913839,332,19,21,1834,3,5,7,5
31913863,337,10,15,1834,1,3,4,4
31913884,342,15,20,917,4,4,5,5
31913907,346,22,8,3668,9,5,4,2
31913927,349,4,11,1834,3,1,3,3
31913951,353,13,21,3668,0,4,7,5
31913971,356,14,20,1834,2,4,5,5
31913991,360,16,21,917,6,4,7,5
31914014,365,12,15,917,5,3,4,4
31914036,370,17,15,1834,8,4,4,4
31914057,375,9,11,1834,6,2,3,3
31914078,380,16,15,917,6,4,4,4
31914102,384,21,15,1834,7,5,4,4
31914122,388,12,21,1834,5,3,7,5
31914146,392,26,25,917,10,6,8,6
31914166,397,17,26,1834,8,4,10,6
31914188,402,21,13,3668,7,5,0,4
31914210,407,22,21,917,9,5,7,5
31914234,413,26,33,1834,10,6,10,8
31914259,416,24,33,2751,6,6,10,8
31914279,420,30,20,3668,11,7,5,5
31914299,424,12,8,917,5,3,4,2
31914320,427,12,6,2751,5,3,0,2
31914343,433,1,7,1834,2,0,2,2
31914369,437,30,26,917,11,7,10,6
31914393,442,26,20,2751,10,6,5,5
31914418,445,26,12,3668,10,6,5,3
31914439,450,26,33,1834,10,6,10,8
31914460,455,7,3,917,2,2,1,1
31914484,460,3,6,917,1,1,0,2
31914506,466,23,27,917,4,6,5,7
31914527,469,20,21,917,5,5,7,5
31914550,472,8,20,2751,4,2,5,5
31914572,476,31,24,1834,6,8,6,6
31914595,482,25,23,1834,8,6,4,6
31914617,486,33,21,2751,10,8,7,5
31914641,489,24,16,1834,6,6,6,4
31914662,492,21,25,917,7,5,8,6
31914683,495,16,22,1834,6,4,9,5
31914704,500,26,21,1834,10,6,7,5
31914726,504,25,20,1834,8,6,5,5
31914746,509,6,21,4585,0,2,7,5
31914767,513,6,16,3668,0,2,6,4
31914788,516,0,1,917,0,0,2,0
31914809,521,16,21,917,6,4,7,5
31914830,526,4,21,3668,3,1,7,5
31914851,532,10,19,1834,1,3,3,5
31914871,535,25,29,917,8,6,9,7
31914892,539,6,12,2751,0,2,5,3
31914912,542,22,0,6419,9,5,0,0
31914934,547,19,15,917,3,5,4,4
31914955,551,8,20,2751,4,2,5,5
31914976,554,27,20,1834,5,7,5,5
31914997,558,12,21,1834,5,3,7,5
31915017,562,15,18,1834,4,4,1,5
31915038,565,25,30,1834,8,6,11,7
31915063,572,26,25,917,10,6,8,6
31915087,576,16,29,2751,6,4,9,7
31915108,580,19,21,1834,3,5,7,5
31915129,586,14,23,1834,2,4,4,6
31915151,590,4,8,917,3,1,4,2
31915173,594,20,3,3668,5,5,1,1
31915194,598,36,19,4585,9,9,3,5
31915215,600,21,15,1834,7,5,4,4
31915235,604,25,11,3668,8,6,3,3
31915258,609,23,14,1834,4,6,2,4
31915284,614,21,25,917,7,5,8,6
31915308,619,16,21,917,6,4,7,5
31915331,623,27,16,2751,5,7,6,4
31915351,627,29,30,917,9,7,11,7
31915375,631,34,20,4585,12,8,5,5
31915395,636,28,24,917,7,7,6,6
31915415,639,8,16,1834,4,2,6,4
31915435,644,26,29,917,10,6,9,7
31915456,648,16,11,1834,6,4,3,3
31915476,653,11,8,917,3,3,4,2
31915497,656,26,12,3668,10,6,5,3
31915518,660,7,15,1834,2,2,4,4
31915541,665,20,15,917,5,5,4,4
31915563,669,29,20,2751,9,7,5,5
31915586,673,23,25,1834,4,6,8,6
31915609,678,12,3,2751,5,3,1,1
31915631,682,11,16,1834,3,3,6,4
31915654,686,9,22,3668,6,2,9,5
31915675,691,25,26,917,8,6,10,6
31915696,697,11,24,2751,3,3,6,6
31915718,699,16,20,917,6,4,5,5
31915740,703,21,22,917,7,5,9,5
31915761,707,23,10,2751,4,6,1,3
31915783,711,11,15,917,3,3,4,4
31915806,715,8,0,2751,4,2,0,0
31915828,719,0,15,3668,0,0,4,4
31915851,723,27,18,2751,5,7,1,5
31915873,727,15,11,917,4,4,3,3
31915893,730,22,21,917,9,5,7,5
31915914,734,0,8,2751,0,0,4,2
31915934,738,15,20,917,4,4,5,5
31915956,742,20,18,1834,5,5,1,5
31915979,746,6,3,917,0,2,1,1
31915999,750,33,21,2751,10,8,7,5
31916021,755,19,16,1834,3,5,6,4
31916044,760,16,21,917,6,4,7,5
31916064,764,22,26,917,9,5,10,6
31916085,768,3,11,1834,1,1,3,3
31916106,772,30,16,3668,11,7,6,4
31916128,778,33,32,917,10,8,8,8
31916150,783,26,17,1834,10,6,8,4
31916173,786,7,20,2751,2,2,5,5
31916196,791,20,23,917,5,5,4,6
31916216,795,22,16,1834,9,5,6,4
31916240,798,22,26,917,9,5,10,6
31916267,803,14,20,1834,2,4,5,5
31916287,807,22,33,2751,9,5,10,8
31916309,811,2,6,2751,4,0,0,2
31916332,819,31,20,2751,6,8,5,5
31916355,825,12,20,1834,5,3,5,5
31916378,832,3,11,1834,1,1,3,3
31916401,836,20,21,917,5,5,7,5
31916425,841,29,25,917,9,7,8,6
31916448,844,18,12,2751,1,5,5,3
31916468,848,13,14,917,0,4,2,4
31916489,852,12,11,917,5,3,3,3
31916511,856,16,12,917,6,4,5,3
31916532,861,25,21,917,8,6,7,5
31916554,865,15,3,2751,4,4,1,1
31916581,871,16,19,1834,6,4,3,5
31916604,875,0,15,3668,0,0,4,4
31916626,880,25,23,1834,8,6,4,6
31916652,885,26,30,917,10,6,11,7
31916673,890,20,14,1834,5,5,2,4
31916694,894,21,11,2751,7,5,3,3
31916716,898,23,16,1834,4,6,6,4
31916738,901,14,23,1834,2,4,4,6
31916762,908,15,10,1834,4,4,1,3
31916782,912,4,12,1834,3,1,5,3
31916809,919,26,8,4585,10,6,4,2
31916831,924,26,21,1834,10,6,7,5
31916853,928,16,18,2751,6,4,1,5
31916879,932,35,0,8253,7,9,0,0
31916903,936,21,30,2751,7,5,11,7
31916923,940,6,10,917,0,2,1,3
31916946,945,17,21,917,8,4,7,5
31916967,948,25,27,1834,8,6,5,7
31916993,951,16,20,917,6,4,5,5
31917014,956,21,11,2751,7,5,3,3
31917037,959,21,16,917,7,5,6,4
31917059,963,20,23,917,5,5,4,6
31917081,968,6,19,2751,0,2,3,5
31917103,974,25,15,2751,8,6,4,4
31917128,978,25,23,1834,8,6,4,6
31917152,982,16,25,1834,6,4,8,6
31917174,986,14,13,917,2,4,0,4
31917199,989,30,26,917,11,7,10,6
31917222,995,26,22,917,10,6,9,5
31917245,1000,21,25,917,7,5,8,6
31917268,1005,25,21,917,8,6,7,5
31917289,1009,20,21,917,5,5,7,5
31917311,1016,24,20,917,6,6,5,5
31917331,1021,19,14,917,3,5,2,4
31917353,1024,23,20,917,4,6,5,5
31917374,1029,25,33,1834,8,6,10,8
31917399,1035,19,15,917,3,5,4,4
31917422,1042,26,17,1834,10,6,8,4
31917444,1048,20,0,4585,5,5,0,0
31917465,1053,10,0,2751,1,3,0,0
31917487,1058,21,28,1834,7,5,7,7
31917509,1065,12,21,1834,5,3,7,5
31917529,1069,26,29,917,10,6,9,7
31917551,1073,29,25,917,9,7,8,6
31917572,1077,12,16,917,5,3,6,4
31917592,1081,16,17,917,6,4,8,4
31917615,1088,19,20,917,3,5,5,5
31917635,1094,4,3,917,3,1,1,1
31917656,1098,20,8,2751,5,5,4,2
31917678,1103,31,20,2751,6,8,5,5
31917701,1108,26,0,7336,10,6,0,0
31917725,1114,19,11,1834,3,5,3,3
31917745,1118,15,11,917,4,4,3,3
31917766,1124,22,21,917,9,5,7,5
31917787,1128,23,16,1834,4,6,6,4
31917809,1131,14,4,2751,2,4,3,1
31917832,1137,25,33,1834,8,6,10,8
31917852,1141,11,12,917,3,3,5,3
31917873,1145,29,25,917,9,7,8,6
31917893,1147,16,11,1834,6,4,3,3
31917915,1151,7,1,1834,2,2,2,0
31917940,1158,10,3,1834,1,3,1,1
31917964,1163,29,23,2751,9,7,4,6
31917984,1168,23,27,917,4,6,5,7
31918006,1171,20,23,917,5,5,4,6
31918028,1175,26,21,1834,10,6,7,5
31918051,1180,22,14,3668,9,5,2,4
31918072,1184,26,20,2751,10,6,5,5
31918096,1187,7,11,917,2,2,3,3
31918118,1193,29,21,1834,9,7,7,5
31918141,1196,17,20,1834,8,4,5,5
31918162,1201,14,27,2751,2,4,5,7
31918183,1205,30,26,917,11,7,10,6
31918208,1211,15,8,1834,4,4,4,2
31918228,1215,29,14,4585,9,7,2,4
31918252,1219,26,21,1834,10,6,7,5
31918274,1223,21,26,1834,7,5,10,6
31918295,1228,21,12,1834,7,5,5,3
31918318,1233,15,3,2751,4,4,1,1
31918338,1238,0,10,2751,0,0,1,3
31918358,1244,22,16,1834,9,5,6,4
31918379,1249,15,1,3668,4,4,2,0
31918400,1252,7,21,3668,2,2,7,5
31918420,1257,17,15,1834,8,4,4,4
31918441,1262,16,17,917,6,4,8,4
31918461,1266,7,11,917,2,2,3,3
31918483,1270,26,20,2751,10,6,5,5
31918505,1273,21,24,917,7,5,6,6
31918527,1277,27,21,1834,5,7,7,5
31918549,1280,25,0,6419,8,6,0,0
31918569,1284,11,21,2751,3,3,7,5
31918593,1290,12,21,1834,5,3,7,5
31918614,1293,30,25,1834,11,7,8,6
31918636,1298,16,25,1834,6,4,8,6
31918657,1302,12,29,3668,5,3,9,7
31918677,1306,14,3,2751,2,4,1,1
31918698,1308,35,27,1834,7,9,5,7
31918720,1311,26,21,1834,10,6,7,5
31918742,1316,16,21,917,6,4,7,5
31918766,1319,8,3,1834,4,2,1,1
31918787,1323,16,11,1834,6,4,3,3
31918807,1328,15,16,917,4,4,6,4
31918827,1331,3,27,5502,1,1,5,7
31918848,1335,16,20,917,6,4,5,5
31918870,1338,20,10,2751,5,5,1,3
31918892,1342,6,19,2751,0,2,3,5
31918915,1346,15,22,2751,4,4,9,5
31918935,1351,22,16,1834,9,5,6,4
31918956,1353,16,20,917,6,4,5,5
31918977,1359,4,10,1834,3,1,1,3
31918999,1363,20,18,1834,5,5,1,5
31919021,1368,15,20,917,4,4,5,5
31919041,1371,18,0,4585,1,5,0,0
31919062,1376,28,25,917,7,7,8,6
31919085,1380,20,15,917,5,5,4,4
31919105,1384,12,8,917,5,3,4,2
31919128,1389,32,31,917,8,8,6,8
31919148,1395,16,21,917,6,4,7,5
31919170,1398,16,29,2751,6,4,9,7
31919194,1404,11,8,917,3,3,4,2
31919216,1409,8,26,4585,4,2,10,6
31919244,1415,15,11,917,4,4,3,3
31919266,1420,10,7,917,1,3,2,2
31919288,1425,14,20,1834,2,4,5,5
31919308,1429,24,27,917,6,6,5,7
31919328,1433,19,23,917,3,5,4,6
31919351,1438,21,16,917,7,5,6,4
31919374,1443,26,16,2751,10,6,6,4
31919395,1448,11,21,2751,3,3,7,5
31919418,1453,10,5,2751,1,3,5,1
31919440,1459,16,21,917,6,4,7,5
31919462,1462,29,30,917,9,7,11,7
31919482,1466,4,10,1834,3,1,1,3
31919504,1471,26,20,2751,10,6,5,5
31919528,1475,4,21,3668,3,1,7,5
31919549,1480,4,0,1834,3,1,0,0
31919571,1483,14,13,917,2,4,0,4
31919593,1489,1,16,3668,2,0,6,4
31919614,1494,4,20,3668,3,1,5,5
31919636,1498,16,18,2751,6,4,1,5
31919657,1502,7,19,2751,2,2,3,5
31919679,1507,3,4,917,1,1,3,1
31919701,1512,35,27,1834,7,9,5,7
31919721,1515,7,16,2751,2,2,6,4
31919742,1519,25,33,1834,8,6,10,8
31919762,1522,14,20,1834,2,4,5,5
31919785,1526,14,16,1834,2,4,6,4
31919807,1533,15,26,3668,4,4,10,6
31919829,1538,4,27,5502,3,1,5,7
31919850,1541,18,21,2751,1,5,7,5
31919875,1546,7,23,3668,2,2,4,6
31919895,1550,12,18,2751,5,3,1,5
31919919,1558,10,27,3668,1,3,5,7
31919942,1563,14,11,917,2,4,3,3
31919963,1568,10,11,917,1,3,3,3
31919986,1572,23,18,1834,4,6,1,5
31920007,1580,21,26,1834,7,5,10,6
31920029,1584,4,16,2751,3,1,6,4
31920050,1590,16,12,917,6,4,5,3
31920074,1593,7,21,3668,2,2,7,5
31920095,1598,26,25,917,10,6,8,6
31920117,1603,30,15,4585,11,7,4,4
31920140,1607,11,13,1834,3,3,0,4
31920164,1612,16,12,917,6,4,5,3
31920189,1615,17,20,1834,8,4,5,5
31920211,1620,21,10,3668,7,5,1,3
31920232,1624,33,12,4585,10,8,5,3
31920253,1628,10,13,917,1,3,0,4
31920275,1633,31,32,917,6,8,8,8
31920295,1638,22,2,5502,9,5,4,0
31920318,1643,29,31,1834,9,7,6,8
31920340,1647,26,16,2751,10,6,6,4
31920362,1652,12,14,1834,5,3,2,4
31920382,1655,33,29,917,10,8,9,7
31920406,1661,27,31,917,5,7,6,8
31920429,1666,23,12,2751,4,6,5,3
31920451,1673,8,7,917,4,2,2,2
31920472,1677,26,33,1834,10,6,10,8
31920495,1682,23,29,2751,4,6,9,7
31920516,1687,20,16,917,5,5,6,4
31920538,1691,15,16,917,4,4,6,4
31920559,1694,27,29,1834,5,7,9,7
31920579,1698,10,11,917,1,3,3,3
31920602,1703,23,29,2751,4,6,9,7
31920625,1707,28,31,917,7,7,6,8
31920645,1711,23,21,1834,4,6,7,5
31920667,1714,21,22,917,7,5,9,5
31920689,1719,19,11,1834,3,5,3,3
31920712,1723,16,14,1834,6,4,2,4
31920733,1728,35,20,3668,7,9,5,5
31920754,1734,15,3,2751,4,4,1,1
31920777,1738,12,8,917,5,3,4,2
31920799,1743,6,21,4585,0,2,7,5
31920823,1749,2,0,1834,4,0,0,0
31920845,1753,31,14,3668,6,8,2,4
31920868,1757,25,22,917,8,6,9,5
31920890,1761,20,16,917,5,5,6,4
31920910,1766,15,20,917,4,4,5,5
31920930,1770,29,33,917,9,7,10,8
31920954,1775,27,23,917,5,7,4,6
31920976,1782,0,10,2751,0,0,1,3
31920998,1785,17,11,2751,8,4,3,3
31921018,1788,27,21,1834,5,7,7,5
31921041,1792,28,18,3668,7,7,1,5
31921062,1796,7,10,917,2,2,1,3
31921085,1801,31,25,1834,6,8,8,6
31921109,1806,12,11,917,5,3,3,3
31921131,1810,24,20,917,6,6,5,5
31921152,1815,7,15,1834,2,2,4,4
31921173,1818,16,15,917,6,4,4,4
31921193,1822,15,19,917,4,4,3,5
